AracID;DepoSeviyesi;DepoSıcaklığı;MotorYağBasıncı;MotorYağSeviyesi;Fren_ArkaSağ2;Fren_ArkaSol2;Fren_ArkaSol1;Fren_ÖnSağ;Fren_ÖnSol;Fren_ArkaSol3;Fren_ArkaSağ3;Fren_ArkaSağ1;YardımcıBasınç;Frenİkincil;FrenBirincil;KompresörDurumu;İçSıcaklık_Ön;İçSıcaklık_Arka;AraçHızı;RetarderTorkYüzdesi;YakıtTüketim;FrenPedalı;MotorYükYüzdesi;GazPedalı;TurboÇıkış;MotorTorkYüzdesi;SürücüTork;MotorHız;OrtamSıcaklığı;EgzozSıcaklığı;HavaGiriş;VitesSeçili;VitesAktif;DPF_Çıkış;ŞarjVolt;AküVolt;ŞanzımanYağ;SürüşModu;DepoSeviye;HavaGirişSıcaklığı;ToplamYakıt;OdoYüksek;YokuşKalkış;DurmaFren;MotorÇalışmaSüresi;ÖnAksAğırlığı;MotorAlarm;SoğutucuSıcaklığı;YakıtMotorSıcaklığı;MotorYağSıcaklığı;HavaDebisi;TurboTürbin;FrenAlarm;AksAlarm;SanzımanAlarm
Araç 1;0.674419;0.409091;0.770115;1.000000;0.613757;0.634615;0.397906;0.380952;0.395604;0.565022;0.242152;0.435000;0.000000;0.718310;0.725352;1.000000;0.720000;0.720000;0.302656;1.000000;0.833615;0.000000;0.960000;0.996000;0.746606;0.768000;0.990385;0.636401;0.780571;0.534833;0.688679;;0.400000;0.148597;0.873134;0.873134;0.935700;0.000000;0.481928;0.337937;0.941631;0.856728;0.000000;0.000000;0.954982;0.294588;;0.917647;0.359375;0.850885;;;;;
Araç 2;0.451163;0.818182;0.885057;1.000000;0.910053;0.875000;0.853403;0.809524;0.857143;0.874439;0.896861;0.785000;0.000000;0.859155;0.866197;0.000000;0.720000;0.720000;0.952035;1.000000;0.568412;0.000000;0.650000;1.000000;0.873088;0.384000;0.461538;0.960088;0.769701;0.709607;0.433962;;1.000000;0.170074;0.873134;0.873134;0.948426;0.000000;1.000000;0.312754;0.862557;0.753964;0.000000;0.000000;0.884448;0.277953;;0.941176;0.437500;0.841898;1.000000;0.865097;;;
Araç 3;0.762791;0.727273;0.965517;1.000000;0.735450;0.750000;0.602094;0.680272;0.653846;0.717489;0.659193;0.665000;0.000000;0.802817;0.795775;0.000000;0.720000;0.720000;0.919087;1.000000;0.533784;0.000000;0.600000;0.724000;0.908747;0.376000;0.451923;0.926073;0.719429;0.656284;0.547170;;1.000000;0.177148;0.858209;0.858209;0.904555;0.000000;0.337349;0.319794;0.781573;0.810116;0.000000;0.000000;0.799273;0.095811;;0.941176;0.500000;0.834878;;;;;
Araç 1;0.651163;0.522727;0.827586;1.000000;0.613757;0.625000;0.397906;0.380952;0.395604;0.565022;0.242152;0.435000;0.000000;0.823944;0.830986;0.000000;0.680000;0.680000;0.655095;1.000000;0.864020;0.000000;0.990000;1.000000;0.869230;0.784000;0.990385;0.666575;0.750000;0.617317;0.877358;;1.000000;0.143028;0.843284;0.843284;0.973208;0.000000;0.441767;0.343082;0.941713;0.856869;0.000000;0.000000;0.955062;0.161165;;0.929412;0.390625;0.848357;;;;;
Araç 2;0.395349;0.863636;0.793103;1.000000;0.910053;0.875000;0.853403;0.809524;0.857143;0.874439;0.896861;0.785000;0.000000;0.830986;0.816901;0.000000;0.800000;0.800000;0.139064;0.621951;0.000000;0.370370;0.000000;0.000000;0.709804;0.000000;0.000000;0.410780;0.737092;0.517400;0.075472;;0.200000;0.176459;0.925373;0.925373;0.964501;0.000000;0.975904;0.393447;0.862650;0.754122;0.000000;0.000000;0.884528;0.260554;;0.917647;0.421875;0.834878;1.000000;0.631344;;;
Araç 3;0.762791;0.681818;0.885057;1.000000;0.735450;0.750000;0.591623;0.659864;0.653846;0.708520;0.659193;0.665000;0.000000;0.845070;0.838028;0.000000;0.720000;0.720000;0.394637;1.000000;0.070946;0.000000;0.080000;0.228000;0.671145;0.064000;0.076923;0.647373;0.665082;0.315580;0.075472;;0.600000;0.105643;0.820896;0.820896;0.765238;0.000000;0.405622;0.329272;0.781585;0.810155;0.000000;0.000000;0.799309;0.110771;;0.788235;0.406250;0.718057;;;;;
Araç 1;0.618605;0.613636;0.586207;1.000000;0.613757;0.605769;0.397906;0.380952;0.395604;0.565022;0.242152;0.435000;0.000000;0.725352;0.746479;0.000000;0.760000;0.760000;0.000052;1.000000;0.051520;0.574074;0.230000;0.000000;0.683293;0.096000;0.000000;0.300782;0.737092;0.388002;0.037736;;0.000000;0.154583;0.940299;0.940299;0.915271;0.000000;0.417671;0.444625;0.941792;0.857021;0.166667;0.166667;0.955141;0.126740;;0.976471;0.406250;0.860713;;;;;
Araç 2;0.390698;0.863636;0.804598;1.000000;0.910053;0.875000;0.853403;0.809524;0.857143;0.874439;0.896861;0.785000;0.000000;0.788732;0.795775;0.000000;0.800000;0.800000;0.275425;0.536585;0.000000;0.157407;0.000000;0.000000;0.725811;0.000000;0.000000;0.444932;0.704484;0.513491;0.075472;;0.600000;0.193582;0.932836;0.932836;0.953784;0.000000;0.907631;0.402112;0.862737;0.754283;0.000000;0.000000;0.884607;0.129521;;0.952941;0.453125;0.841898;1.000000;0.626339;;;
Araç 3;0.739535;0.636364;0.643678;1.000000;0.735450;0.750000;0.591623;0.659864;0.653846;0.708520;0.659193;0.665000;0.000000;0.795775;0.795775;0.000000;0.760000;0.760000;0.001403;1.000000;0.040541;0.490741;0.170000;0.000000;0.667072;0.072000;0.000000;0.300233;0.645380;0.438249;0.028302;;0.000000;0.142031;0.888060;0.888060;0.923644;0.000000;0.345382;0.436772;0.781644;0.810297;0.166667;0.000000;0.799389;0.099681;;0.882353;0.437500;0.803426;;;;;
Araç 1;0.609302;0.681818;0.586207;1.000000;0.613757;0.615385;0.397906;0.380952;0.395604;0.565022;0.242152;0.435000;0.000000;0.746479;0.753521;0.000000;0.680000;0.680000;0.000000;1.000000;0.046453;0.000000;0.220000;0.000000;0.673431;0.088000;0.000000;0.301193;0.754076;0.497917;0.028302;;;0.147908;0.947761;0.947761;0.914267;1.000000;0.377510;0.386407;0.941882;0.857165;0.000000;0.166667;0.955221;0.051890;;0.905882;0.421875;0.844707;;;;;
